province,city_or_area,cemetery_name,qabrmap_category,location,latitude,longitude,site_status,verification_status,verification_source,source_url_1,source_url_2
Western Cape,Mowbray,Mowbray Muslim Cemetery / Gamedia Maqbara,Dedicated Muslim cemetery,"10 Browning Road, Mowbray, Cape Town",-33.93908,18.46112,active_or_burial_site,Verified,MJC + OSM/Mapcarta,https://mjc.org.za/community/cemeteries/,https://mapcarta.com/W227933663
Western Cape,Rylands,Vygiekraal / Johnson Road Muslim Cemetery,Dedicated Muslim cemetery,"Johnson Road, Rylands, Cape Town",,,active_or_burial_site,Verified,MJC,https://mjc.org.za/community/cemeteries/,
Western Cape,Rylands Estate,Habibia Soofie Maqbara,Dedicated Muslim cemetery,"Pooke Road, Rylands Estate, Cape Town",,,active_or_burial_site,Verified,MJC,https://mjc.org.za/community/cemeteries/,
Western Cape,Grassy Park,Spaanschemat River Muslim Cemetery,Dedicated Muslim cemetery,"118 Third Avenue, Grassy Park, Cape Town",,,active_or_burial_site,Verified,MJC,https://mjc.org.za/community/cemeteries/,
Western Cape,Grassy Park,Klip Road North Muslim Cemetery,Dedicated Muslim cemetery,"Klip Road, Grassy Park, Cape Town",,,active,Verified,MJC Cemetery Board,https://mjc.org.za/departments/muslim-cemetery-board-mancom/,
Western Cape,Mitchells Plain / Khayelitsha,Mitchell’s Plain/Khayelitsha Muslim Cemetery (Swartklip),Muslim section in municipal cemetery,"Corner of Steve Biko Road and Swartklip Road, Khayelitsha, Cape Town",,,active,Verified,MJC Cemetery Board,https://mjc.org.za/departments/muslim-cemetery-board-mancom/,
Western Cape,Belhar,Modderdam Cemetery,Muslim section in municipal cemetery,"Modderdam Road, Belhar, Cape Town",,,active,Verified,MJC + City of Cape Town,https://mjc.org.za/departments/muslim-cemetery-board-mancom/,https://www.capetown.gov.za/Family%20and%20home/See-all-city-facilities/Our-service-facilities/Cemeteries/Modderdam%20Cemetery
Western Cape,Eerste River,Welmoed Cemetery,Muslim section in municipal cemetery,"Strand Street, Eerste River, Cape Town",,,active,Verified,MJC + City of Cape Town,https://mjc.org.za/departments/muslim-cemetery-board-mancom/,https://www.capetown.gov.za/Family%20and%20home/See-all-city-facilities/Our-service-facilities/Cemeteries/Welmoed%20Cemetery
Western Cape,Delft,Delft Cemetery,Muslim section in municipal cemetery,"Symphony Way Ext, Delft, Cape Town",,,active,Verified,MJC + City of Cape Town,https://mjc.org.za/departments/muslim-cemetery-board-mancom/,https://www.capetown.gov.za/Family%20and%20home/See-all-city-facilities/Our-service-facilities/Cemeteries/Delft%20Cemetery
Western Cape,Atlantis,Atlantis Cemetery,Muslim section in municipal cemetery,"266 Dassenberg Street, Cape Farms District B, Atlantis, Cape Town",,,active,Verified,MJC + City of Cape Town,https://mjc.org.za/departments/muslim-cemetery-board-mancom/,https://www.capetown.gov.za/Family%20and%20home/See-all-city-facilities/Our-service-facilities/Cemeteries/Atlantis%20Cemetery
Western Cape,Muizenberg,Muizenberg Cemetery,Muslim section in municipal cemetery,"Prince George Drive, Muizenberg, Cape Town",,,active,Verified,MJC + City of Cape Town,https://mjc.org.za/departments/muslim-cemetery-board-mancom/,https://www.capetown.gov.za/Family%20and%20home/See-all-city-facilities/Our-service-facilities/Cemeteries/Muizenberg%20Cemetery
Western Cape,Maitland,Maitland Cemetery,Muslim section in municipal cemetery,"Voortrekker Road, Maitland, Cape Town",,,active,Verified,MJC + City of Cape Town,https://mjc.org.za/2017/11/08/muslims-given-additional-space-to-bury-deceased/,https://www.capetown.gov.za/Family%20and%20home/See-all-city-facilities/Our-service-facilities/Cemeteries/Maitland%20Cemetery
Western Cape,Ocean View,Ocean View Cemetery,Muslim section in municipal cemetery,"Jupiter Road, Ocean View, Cape Town",,,active,Verified,City of Cape Town,https://www.capetown.gov.za/Media-and-news/There-is-no-%27after-hours%27-burial-tariff,https://www.capetown.gov.za/Family%20and%20home/See-all-city-facilities/Our-service-facilities/Cemeteries/Ocean%20View%20Cemetery
Western Cape,Wallacedene,Wallacedene Cemetery,Muslim section in municipal cemetery,"Corner Nkani Street and Castro Street, Scottsville, Cape Town",,,active,Verified,City of Cape Town,https://www.capetown.gov.za/Media-and-news/There-is-no-%27after-hours%27-burial-tariff,https://www.capetown.gov.za/Family%20and%20home/See-all-city-facilities/Our-service-facilities/Cemeteries/Wallacedene%20Cemetery
